Element	Z	Kb2	Kb1	Ka1	Ka2	Lg1	Lb2	Lb1	La1	La2
Ti	22	0.000	4.931	4.510	4.504	0.000	0.000	0.458	0.492	0.492
Mn	25	0.000	6.490	5.898	5.887	0.000	0.000	0.647	0.636	0.636
Fe	26	0.000	7.057	6.403	6.390	0.000	0.000	0.717	0.704	0.704
Cu	29	8.976	8.904	8.047	8.027	0.000	0.000	0.943	0.928	0.928
Zn	30	9.657	9.571	8.638	8.615	0.000	0.000	1.032	1.009	1.009
Ge	32	11.100	10.981	9.885	9.854	0.000	0.000	1.216	1.166	1.166
Zr	40	17.969	17.666	15.774	15.690	2.302	2.219	2.124	2.042	2.040
Mo	42	19.964	19.607	17.478	17.373	2.623	2.518	2.395	2.293	2.290
Pd	46	24.297	23.816	21.175	21.018	3.328	3.172	2.990	2.838	2.830
Sn	50	29.106	28.483	25.270	25.042	4.131	3.904	3.662	3.444	3.430
